NAV-HEADER;Inkopen;;;;;;;;6253973;31;516;1272;FALSE
NAV-ITEM;Inkopen;Retour;;;;;;;9083838;95;576;1278;FALSE
BUTTON;Inkopen;Retour;;;btn_new_single;dd_pur_dd_pur_return_lst_frm;;;10595517;692;56;1285;FALSE
INPUT;Inkopen;Retour;;;btn_new_single;231825099;;;12371928;692;56;760;FALSE
FIELD;Inkopen;Retour;;;-NO-NAME-;dd_pur_dd_pur_reception_lst_tbl_return;;;12105912;557;500;1280;EDIT
BUTTON;Inkopen;Retour;;;btn_forward;dd_pur_dd_pur_return_new_dlg_frm_wiz1;;;14869738;661;336;1279;FALSE
FIELD;Inkopen;Retour;;;fld_return_reason_req;dd_pur_dd_pur_return_new_dlg_frm_wiz2;;;15330544;715;461;1278;EDIT
BUTTON;Inkopen;Retour;;;onbekend;onbekend;;;15198958;736;480;1280;FALSE
FIELD;Inkopen;Retour;;;fld_inputField_tab_prod;dd_pur_dd_pur_return_new_dlg_lst_frm;;;16777215;598;583;1280;EDIT
INPUT;Inkopen;Retour;;;fld_inputField_tab_prod;011030496;;;7253247;598;583;772;FALSE
KEY;Inkopen;Retour;;;fld_inputField_tab_prod;ENTER;;;16777215;598;583;762;FALSE
BUTTON;Inkopen;Retour;;;btn_send;dd_pur_dd_pur_return_new_dlg_frm_wiz2;;;16185079;743;337;1283;FALSE
FIELD;Inkopen;Retour;;;fld_subject_req;dd_core_email_new_frm;;;16777215;668;418;1282;EDIT
INPUT;Inkopen;Retour;;;fld_subject_req;test;;;16448250;668;418;778;FALSE
FIELD;Inkopen;Retour;;;fld_body;dd_core_email_new_frm;;;16448250;605;483;1287;EDIT
INPUT;Inkopen;Retour;;;fld_body;test;;;16448250;605;483;777;FALSE
BUTTON;Inkopen;Retour;;;btn_save;dd_core_email_new_frm;;;14211745;678;342;1276;FALSE
SLUIT;71;131
