NAV-HEADER;Leveranciers;;;;;;;;16579836;44;455;1278;FALSE
NAV-ITEM;Leveranciers;Leverancier;;;;;;;14988175;85;477;1293;FALSE
BUTTON;Leveranciers;Leverancier;;;btn_detail;dd_sup_dd_sup_supplier_lst;;;16777215;204;135;1283;FALSE
TAB;Leveranciers;Leverancier;Notities;;;dd_sup_dd_sup_supplier_pan;7;11;5201523;834;372;1280;FALSE
BUTTON;Leveranciers;Leverancier;Notities;;btn_new;dd_core_dd_core_notes_tbl;7;11;14606566;265;424;1295;FALSE
BUTTON;Leveranciers;Leverancier;Notities;;onbekend;onbekend;7;11;15791094;832;384;1287;FALSE
BUTTON;Leveranciers;Leverancier;Notities;;onbekend;onbekend;7;11;16448250;793;464;1287;FALSE
KEY;Leveranciers;Leverancier;Notities;;onbekend;BACKSPACE;7;11;16448250;793;464;761;FALSE
KEY;Leveranciers;Leverancier;Notities;;onbekend;BACKSPACE;7;11;16448250;793;464;768;FALSE
KEY;Leveranciers;Leverancier;Notities;;onbekend;BACKSPACE;7;11;16448250;793;464;778;FALSE
INPUT;Leveranciers;Leverancier;Notities;;onbekend;;7;11;16448250;793;464;774;FALSE
INPUT;Leveranciers;Leverancier;Notities;;onbekend;Evenwatinformatievoorhettestscript;7;11;16448250;793;464;773;FALSE
KEY;Leveranciers;Leverancier;Notities;;onbekend;BACKSPACE;7;11;17022;1113;223;769;FALSE
KEY;Leveranciers;Leverancier;Notities;;onbekend;BACKSPACE;7;11;16777215;1113;223;759;FALSE
BUTTON;Leveranciers;Leverancier;Notities;;btn_save;dd_core_dd_core_notes_new_dlg;7;11;16777215;659;341;1288;FALSE
NAV-HEADER;Leveranciers;;;;;;;;13302265;56;458;1280;FALSE
NAV-ITEM;Leveranciers;Leverancier;;;;;;;11705021;113;476;1292;FALSE
BUTTON;Leveranciers;Leverancier;;;btn_refresh;dd_sup_dd_sup_supplier_lst_frm;;;7515326;450;61;1287;FALSE
SLUIT;75;119
