NAV-HEADER;Leveranciers;;;;;;;;6253973;63;454;1282;FALSE
NAV-ITEM;Leveranciers;Leverancier;;;;;;;9083838;99;476;1295;FALSE
BUTTON;Leveranciers;Leverancier;;;btn_detail;dd_sup_dd_sup_supplier_lst;;;3107253;204;142;1280;FALSE
BUTTON;Leveranciers;Leverancier;;;btn_detail;dd_sup_dd_sup_supplier_lst;;;16777215;205;137;1278;FALSE
TAB;Leveranciers;Leverancier;Leverancierskortingen;;;dd_sup_dd_sup_supplier_pan;6;11;8172543;704;385;1269;FALSE
BUTTON;Leveranciers;Leverancier;Leverancierskortingen;;btn_new;dd_sup_dd_sup_price_tbl;6;11;13685403;276;418;1285;FALSE
INPUT;Leveranciers;Leverancier;Leverancierskortingen;;btn_new;1;6;11;14343587;276;418;780;FALSE
INPUT;Leveranciers;Leverancier;Leverancierskortingen;;btn_new;1;6;11;14343587;276;418;771;FALSE
FIELD;Leveranciers;Leverancier;Leverancierskortingen;;fld_price_basis2;dd_sup_dd_sup_price_new_dlg;6;11;16777215;928;435;1284;EDIT
INPUT;Leveranciers;Leverancier;Leverancierskortingen;;fld_price_basis2;1;6;11;16777215;928;435;777;FALSE
FIELD;Leveranciers;Leverancier;Leverancierskortingen;;fld_price_basis3;dd_sup_dd_sup_price_new_dlg;6;11;16777215;1004;438;1286;EDIT
INPUT;Leveranciers;Leverancier;Leverancierskortingen;;fld_price_basis3;;6;11;16777215;1004;438;767;FALSE
INPUT;Leveranciers;Leverancier;Leverancierskortingen;;fld_price_basis3;1;6;11;16448250;1004;438;778;FALSE
BUTTON;Leveranciers;Leverancier;Leverancierskortingen;;btn_save;dd_sup_dd_sup_price_new_dlg;6;11;11712703;806;382;1281;FALSE
NAV-HEADER;Leveranciers;;;;;;;;16371114;77;461;1285;FALSE
NAV-ITEM;Leveranciers;Leverancier;;;;;;;9026793;105;476;1281;FALSE
BUTTON;Leveranciers;Leverancier;;;btn_refresh;dd_sup_dd_sup_supplier_lst_frm;;;11451083;453;67;1285;FALSE
SLUIT;71;123
