NAV-HEADER;Inkopen;;;;;;;;6266836;57;555;1297;FALSE
NAV-ITEM;Inkopen;Bestellingen;;;;;;;5595301;84;577;1298;FALSE
LABEL;Inkopen;Bestellingen;;;btn_search_arrow_down;;;;0;1692;67;1284;COMBOBOX
BUTTON;Inkopen;Bestellingen;;;onbekend;onbekend;;;11128314;1737;357;1285;FALSE
FIELD;Inkopen;Bestellingen;;;fld_search_gSearchText_combo;search_search_menu_frm;;;15856630;1792;63;1288;EDIT
BUTTON;Inkopen;Bestellingen;;;onbekend;onbekend;;;6910592;1767;98;1274;FALSE
BUTTON;Inkopen;Bestellingen;;;btn_detail;dd_pur_dd_pur_order_lst;;;4029907;204;189;1280;FALSE
BUTTON;Inkopen;Bestellingen;;;btn_accept;dd_pur_dd_pur_order_pan;;;10391913;688;60;1282;FALSE
FIELD;Inkopen;Bestellingen;;;fld_pallet_req1;dd_pur_dd_pur_reception_accept_dlg;;;16777215;658;418;1295;EDIT
INPUT;Inkopen;Bestellingen;;;fld_pallet_req1;2;;;16777215;658;418;790;FALSE
BUTTON;Inkopen;Bestellingen;;;btn_save;dd_pur_dd_pur_reception_accept_dlg;;;16711423;591;253;1290;FALSE
NAV-ITEM;Inkopen;Ontvangsten;;;;;;;12822456;83;598;1274;FALSE
BUTTON;Inkopen;Ontvangsten;;;onbekend;onbekend;;;16645629;257;112;1281;FALSE
BUTTON;Inkopen;Ontvangsten;;;btn_refresh;dd_pur_dd_pur_reception_lst_frm;;;10463932;472;60;1284;FALSE
BUTTON;Inkopen;Ontvangsten;;;onbekend;onbekend;;;16579836;318;115;1294;FALSE
BUTTON;Inkopen;Ontvangsten;;;btn_detail;dd_pur_dd_pur_reception_lst;;;4029907;204;139;1283;FALSE
BUTTON;Inkopen;Ontvangsten;;;btn_log;dd_pur_dd_pur_reception_pan;;;10463932;793;57;1283;FALSE
BUTTON;Inkopen;Ontvangsten;;;btn_forward;dd_pur_dd_pur_reception_log_dlg_frm_wiz1;;;14803879;611;260;1295;FALSE
BUTTON;Inkopen;Ontvangsten;;;onbekend;onbekend;;;15198958;939;557;1291;FALSE
BUTTON;Inkopen;Ontvangsten;;;btn_save;dd_pur_dd_pur_reception_log_dlg_frm_wiz2;;;15527406;598;256;1294;FALSE
SLUIT;86;122
