NAV-HEADER;Verkopen;;;;;;;;9948923;61;353;1294;FALSE
NAV-ITEM;Verkopen;Bestellingen;;;;;;;5266287;75;372;1309;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;11319757;697;58;1300;FALSE
LABEL;Verkopen;Bestellingen;;;BTN_quickSearch;;;;7643321;848;305;1324;COMBOBOX
INPUT;Verkopen;Bestellingen;;;BTN_quickSearch;*;;;16185336;848;305;776;FALSE
KEY;Verkopen;Bestellingen;;;BTN_quickSearch;ENTER;;;16185336;848;305;776;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;10477567;538;459;1326;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;6069753;554;460;1324;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;16777215;917;785;1306;FALSE
FIELD;Verkopen;Bestellingen;;;-NO-NAME-;dd_sale_dd_sale_order_new_dlg_frm_wiz1;;;15922423;662;456;1319;EDIT
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;15198958;672;482;1330;FALSE
BUTTON;Verkopen;Bestellingen;;;btn_forward;dd_sale_dd_sale_order_new_dlg_frm_wiz1;;;13751257;605;256;1301;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;13882064;627;502;1300;FALSE
INPUT;Verkopen;Bestellingen;;;onbekend;*;;;16777215;627;502;783;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;11128314;565;434;1306;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;3231644;581;486;1319;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;11128314;539;580;1326;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;16777215;933;790;1308;FALSE
LABEL;Verkopen;Bestellingen;;;onbekend;dd_sale_dd_sale_order_new_dlg_lst;;;16352388;1440;598;1328;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;16777215;933;548;1298;FALSE
BUTTON;Verkopen;Bestellingen;;;onbekend;onbekend;;;11128314;1155;628;1321;FALSE
BUTTON;Verkopen;Bestellingen;;;btn_send;dd_sale_dd_sale_order_new_dlg_frm_wiz2;;;11400181;680;260;1326;FALSE
SLUIT;94;114
