NAV-HEADER;Artikelen;;;;;;;;9539985;10;116;1285;FALSE
NAV-ITEM;Artikelen;Artikelen;;;;;;;16777215;63;135;1299;FALSE
NAV-ITEM;Artikelen;Artikelen;;;;;;;5018320;75;137;1317;FALSE
BUTTON;Artikelen;Artikelen;;;BTN_open;dd_prod_dd_prod_product_lst_frm;;;12109014;700;69;1309;FALSE
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;6910592;693;86;1328;FALSE
FIELD;Artikelen;Artikelen;;;fld_gProdCategory;dd_prod_dd_prod_product_new_dlg_frm_wiz1;;;10728379;651;290;1308;EDIT
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;15198958;676;361;1294;FALSE
FIELD;Artikelen;Artikelen;;;fld_gProdSubCategory;dd_prod_dd_prod_product_new_dlg_frm_wiz1;;;14606822;706;309;1311;EDIT
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;15198958;711;360;1316;FALSE
BUTTON;Artikelen;Artikelen;;;btn_next;dd_prod_dd_prod_product_new_dlg_frm_wiz1;;;14014110;604;197;1329;FALSE
BUTTON;Artikelen;Artikelen;;;btn_save;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;13751257;606;194;1316;FALSE
FIELD;Artikelen;Artikelen;;;fld_description_type_req;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;14869738;670;285;1313;EDIT
LABEL;Artikelen;Artikelen;;;btn_dictionary;;;;4343627;633;292;1315;COMBOBOX
INPUT;Artikelen;Artikelen;;;btn_dictionary;koppersinc;;;4343627;633;292;776;FALSE
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;15988216;951;670;1312;FALSE
FIELD;Artikelen;Artikelen;;;fld_unit_package_req;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;15790837;854;309;1307;EDIT
BUTTON;Artikelen;Artikelen;;;onbekend;onbekend;;;15198958;858;369;1318;FALSE
FIELD;Artikelen;Artikelen;;;fld_supCode_req;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;14869738;727;331;1313;EDIT
FIELD;Artikelen;Artikelen;;;fld_supCode_req;dd_prod_dd_prod_product_new_dlg_frm_wiz2;;;14869738;707;337;1285;EDIT
